ProperName,BayerName,Cst,Constellation_Full,Vmag,ra_rad,dec_rad,pi_rad,mu_alpha_cosdec_rad_d,mu_delta_rad_d,HR,HIP
,Eta,Cen,Centaurus,2.31,3.82012223361101,-0.7357914675089486,5.172962e-08,-4.6098779315357114e-10,-4.343081080329642e-10,5440,71352
Dschubba,Del,Sco,Scorpius,2.32,4.190245499237546,-0.394821757418185,3.219163e-08,-1.3552218163253563e-10,-4.700137562789506e-10,5953,78401
Merak,Bet,UMa,Ursa Major,2.37,2.8878211070017925,0.9840575548348415,1.9828882e-07,1.0808590842641896e-09,4.4452868392493807e-10,4295,53910
Ankaa,Alp,Phe,Phoenix,2.39,0.11467304670320107,-0.7383636552207217,1.8665328e-07,3.09338339172012e-09,-4.729339208195146e-09,99,2081
Enif,Eps,Peg,Pegasus,2.39,5.690583499707059,0.17235139593039733,2.2931689e-08,3.573219519635513e-10,5.840329081127881e-12,8308,107315
,Kap,Sco,Scorpius,2.41,4.635978447057355,-0.6812006282432778,3.2724923e-08,-8.030452486550836e-11,-3.3900455620910473e-10,6580,86670
Scheat,Bet,Peg,Pegasus,2.42,6.037845347945933,0.49013128975037235,8.0673e-08,2.4907676183491975e-09,1.8175369569973654e-09,8775,113881
Sabik,Eta,Oph,Ophiuchus,2.43,4.495870892570431,-0.27445560237834765,1.7894473e-07,5.326645591492316e-10,1.3163305340351182e-09,6378,84012
Alderamin,Alp,Cep,Cepheus,2.44,5.578841804168417,1.0923222562267416,3.2240112e-07,1.9983216890086423e-09,6.515948968012902e-10,8162,105199
Phecda,Gam,UMa,Ursa Major,2.44,3.1146666759155086,0.9371498813056536,1.9009545e-07,1.4292878078542053e-09,1.4614096178004083e-10,4554,58001
Aludra,Eta,CMa,Canis Major,2.45,1.9377303526283292,-0.5114359186492826,7.950945e-09,-5.495218726333961e-11,7.711889082125679e-11,2827,35904
Aljanah,Eps,Cyg,Cygnus,2.46,5.437604714826569,0.5928788067582494,2.1748743e-07,4.720844184077142e-09,4.3882108959565405e-09,7949,102488
Tiansi,Gam,Cas,Cassiopeia,2.47,0.2474368608033852,1.0597071907562856,2.8797935e-08,3.340933703908836e-10,-5.203202272277567e-11,264,4427
Markab,Alp,Peg,Pegasus,2.49,6.042156568983489,0.2653837273743377,1.18585426e-07,8.017179011366455e-10,-5.481945251149579e-10,8781,113963
Markeb,Kap,Vel,Vela,2.5,2.4526842330142866,-0.9601177538293101,2.763438e-08,-1.5131761710194966e-10,1.5291043412407543e-10,3734,45941
Menkar,Alp,Cet,Cetus,2.53,0.7953450246644265,0.0713826671834729,6.346212e-08,-1.3817687666941193e-10,-1.0200665679197218e-09,911,14135
Leepwal,Zet,Cen,Centaurus,2.55,3.645733552194806,-0.8253359432731461,4.140309e-08,-7.614992713279694e-10,-5.91333319464198e-10,5231,68002
,Zet,Oph,Ophiuchus,2.56,4.3509262016948345,-0.18443159094444656,4.31969e-08,2.0255323131366241e-10,3.2904944982081856e-10,6175,81377
Zosma,Del,Leo,Leo,2.56,2.941346090099365,0.3582119659496692,2.7062302e-07,1.9036818109440015e-09,-1.7239589569474755e-09,4357,54872
Arneb,Alp,Lep,Lepus,2.58,1.4518095185528799,-0.31105767809530616,7.1267614e-09,4.725357165639831e-11,1.5662700717570226e-11,1865,25985
Gienah,Gam,Crv,Corvus,2.59,3.2105671816193433,-0.3061653709763151,1.02925945e-07,-2.1053058989947576e-09,2.901581675305806e-10,4662,59803
Ascella,Zet,Sgr,Sagittarius,2.6,4.9855855847947215,-0.5215063808177614,1.792841e-07,1.432207972394769e-10,2.8020306114229445e-10,7194,93506
,Del,Cen,Centaurus,2.6,3.178065937272457,-0.8852730576502336,3.8106357e-08,-6.628773507080145e-10,-9.543628657570333e-11,4621,59196
Algieba,Gam,Leo,Leo,2.61,2.7051266663473994,0.3463057903849535,1.215428e-07,4.039118498607305e-09,-2.0478317514463854e-09,4057,50583
Zubeneschamali,Bet,Lib,Libra,2.61,4.001201621973832,-0.1637619163180704,8.5424176e-08,-1.3021279155878297e-09,-2.608237873730974e-10,5685,74785
Acrab,Bet,Sco,Scorpius,2.62,4.212514698484737,-0.3456693410633822,3.9124465e-08,-6.902207095878406e-11,-3.190943434325324e-10,5984,78820
Mahasim,The,Aur,Auriga,2.62,1.5695773717410773,0.6494852552185493,9.5508305e-08,5.791217222945669e-10,-9.794497338555145e-10,2095,28380
Sheratan,Bet,Ari,Aries,2.64,0.5002076818495178,0.36317334377567634,2.695564e-07,1.310622939705834e-09,-1.4655243951075667e-09,553,8903
Phact,Alp,Col,Columba,2.64,1.4819983318424357,-0.5947043513426654,6.0504746e-08,2.0972090791322848e-11,-3.2944765407635005e-10,1956,26634
Kraz,Bet,Crv,Corvus,2.65,3.2916352738850123,-0.40834810397610277,1.08549784e-07,1.473355745466352e-11,-7.507477564286204e-10,4786,61359
Unukalhai,Alp,Ser,Serpens,2.65,4.120140278327115,0.11214647613848877,2.1380283e-07,1.7765219186776265e-09,5.947844230121372e-10,5854,77070
Muphrid,Eta,Boo,Bootes,2.68,3.6420015586375634,0.32111591562863817,4.2542402e-07,-8.090183124880555e-10,-4.729206473443302e-09,5235,67927
,Bet,Lup,Lupus,2.68,3.9205879286223797,-0.7528279989654606,4.130613e-08,-4.749249420971718e-10,-5.286825165939171e-10,5571,73273
Ruchbah,Del,Cas,Cassiopeia,2.68,0.3744169752521084,1.0513061203093759,1.5906738e-07,3.936514535432036e-09,-6.533204485752598e-10,403,6686
,Alp,Mus,Musca,2.69,3.3038416410196163,-1.2066426928394316,5.012974e-08,-5.335937024121382e-10,-1.6990048236008383e-10,4798,61585
,Mu,Vel,Vela,2.69,2.822060834045916,-0.8625438985207614,1.3497214e-07,8.391491011566014e-10,-7.195550897453237e-10,4216,52727
Hassaleh,Iot,Aur,Auriga,2.69,1.2958790703431637,0.578858268826366,3.2046188e-08,9.012689650195072e-11,-1.9750931074359745e-10,1577,23015
Lesath,Ups,Sco,Scorpius,2.69,4.584822782453285,-0.6509334659018694,2.7440455e-08,-3.145813618698427e-11,-3.993988682980408e-10,6508,85696
,Pi,Pup,Puppis,2.7,1.9073950089996914,-0.6474732902713985,1.9586473e-08,-1.3339842560303456e-10,8.587938444294861e-11,2773,35264
Kaus Media,Del,Sgr,Sagittarius,2.7,4.803991252569531,-0.5205974985153902,4.5475527e-08,4.3191888249977555e-10,-3.3940276046463617e-10,6859,89931
Tarazed,Gam,Aql,Aquila,2.72,5.17603352952525,0.18523648094493028,4.0045613e-08,2.2551634338264248e-10,-3.955495604945701e-11,7525,97278
Athebyne,Eta,Dra,Draco,2.74,4.293474090073797,1.0736231529227125,1.71721e-07,-2.2591454763817395e-10,7.559244117505293e-10,6132,80331
Yed Prior,Del,Oph,Ophiuchus,2.74,4.251386897779827,-0.06447203758099768,9.2405486e-08,-6.310210102654988e-10,-1.894523113066778e-09,6056,79593
Zubenelgenubi,Alp,Lib,Libra,2.75,3.8871956547715083,-0.27997891653323653,2.0861533e-07,-1.402740857485442e-09,-9.07905702611698e-10,5531,72622
Kulou,Iot,Cen,Centaurus,2.75,3.4932812673278977,-0.6407466857417926,2.6902313e-07,-4.52771512014439e-09,-1.1433771523826265e-09,5028,65109
